phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T2_pre,2,pooled,hdbscan,1,90,43,0.4777777777777778,0.5047011938523043,13.983500000000006,False,4;8;30;39;61;69;76;90;91;93;96;110;112;150;158;160;165;166;176;189;190;198;206;210;212;214;215;221;224;227;229;232;234;235;237;240;241;248;250;251;253;256;259;265;273;284;286;288;307;308;309;313;320;321;322;323;325;328;329;340;343;348;350;354;355;361;370;371;377;380;384;388;396;398;401;402;405;408;413;415;421;432;440;445;463;464;468;469;471;14
T2_pre,2,pooled,kmeans_k2,0,64,36,0.5625,0.19103787670571426,11.183499999999995,False,39;69;73;76;110;112;150;160;165;166;176;183;212;223;229;232;234;235;237;240;241;248;250;251;256;259;265;273;275;284;286;310;313;321;323;325;334;343;348;350;355;362;375;377;378;381;388;398;401;402;403;405;408;411;415;427;432;442;444;463;464;469;471;86
T2_pre,2,pooled,kmeans_k2,1,52,22,0.4230769230769231,0.19103787670571426,17.567000000000007,False,4;6;8;30;40;61;90;91;93;96;103;158;189;190;198;206;210;214;215;221;224;227;230;253;278;288;307;308;309;320;322;328;329;340;354;361;370;371;373;380;384;391;393;396;413;416;421;431;440;445;468;14
T2_pre,5,pooled,hdbscan,-1,32,17,0.53125,0.6788455129886488,10.865999999999984,False,6;8;30;40;93;103;110;158;166;176;198;214;215;250;259;275;310;313;323;348;355;361;377;378;393;398;401;405;411;413;416;444
T2_pre,5,pooled,hdbscan,0,10,4,0.4,0.7421812646159163,17.208,False,91;224;229;307;320;402;463;464;471;14
T2_pre,5,pooled,hdbscan,1,8,4,0.5,1.0,5.933499999999995,False,223;227;237;286;325;396;427;445
T2_pre,5,pooled,hdbscan,2,31,16,0.5161290322580645,0.834556779418395,13.650000000000006,False,39;76;150;160;165;189;190;206;210;212;232;234;248;251;253;256;265;278;284;328;329;343;354;373;375;380;388;403;408;432;468
T2_pre,5,pooled,hdbscan,3,11,5,0.45454545454545453,1.0,19.267,False,4;61;69;90;112;221;273;288;321;350;431
T2_pre,5,pooled,hdbscan,4,5,3,0.6,0.6788179759970894,11.550000000000011,False,73;235;334;340;362
T2_pre,5,pooled,hdbscan,5,5,3,0.6,0.6788179759970894,4.937999999999988,False,230;370;384;442;469
T2_pre,5,pooled,hdbscan,6,9,3,0.3333333333333333,0.48932058183537225,15.834000000000003,False,96;183;240;322;381;391;421;440;86
T2_pre,5,pooled,kmeans_k3,0,37,17,0.4594594594594595,0.6881365791442877,12.35499999999999,False,73;93;96;110;158;183;198;215;223;227;230;237;240;250;253;259;275;286;322;325;361;370;378;381;384;391;393;396;411;421;427;440;442;444;445;469;86
T2_pre,5,pooled,kmeans_k3,1,45,20,0.4444444444444444,0.44092401355254746,13.650000000000006,False,6;39;40;76;91;150;160;165;176;190;206;210;212;214;224;229;232;234;248;251;256;265;278;284;307;320;328;329;343;354;373;375;380;388;398;402;403;408;413;432;463;464;468;471;14
T2_pre,5,pooled,kmeans_k3,2,29,18,0.6206896551724138,0.13455540697899707,10.950000000000003,False,4;8;30;61;69;90;103;112;166;189;221;235;273;288;310;313;321;323;334;340;348;350;355;362;377;401;405;416;431
T2_pre,10,pooled,hdbscan,-1,55,22,0.4,0.018378871689504393,15.55850000000001,False,61;69;73;76;90;110;112;150;160;165;189;212;214;215;221;224;240;248;250;256;259;275;278;284;286;288;307;310;313;320;322;329;355;361;362;370;373;375;377;378;384;388;393;396;408;411;416;440;442;444;463;464;468;469;86
T2_pre,10,pooled,hdbscan,0,5,4,0.8,0.1785644910644911,13.765999999999991,False,328;403;427;431;471
T2_pre,10,pooled,hdbscan,1,6,5,0.8333333333333334,0.09142019183002788,12.567000000000007,True,39;223;380;402;432;445
T2_pre,10,pooled,kmeans_k2,0,31,12,0.3870967741935484,0.22723718261648684,11.067000000000007,False,39;61;69;150;160;165;214;215;223;240;278;284;288;307;320;322;329;375;377;380;384;388;396;402;411;416;432;440;445;464;86
